GENESIS-Tabelle: 51000-22i
Aus- und Einfuhr nach Gruppen (247) des;;;;;;
Güterverzeichnisses der Produktionsstatistiken GP 2019;;;;;;
- Land - Jahr (ab 2008);;;;;;
Außenhandel;;;;;;
Nordrhein-Westfalen;;;;;;
;;;Ausfuhr: Gewicht;Ausfuhr;Einfuhr: Gewicht;Einfuhr
;;;t;Tsd. EUR;t;Tsd. EUR
2018;0111;Getreide (ohne Reis), Hülsenfrüchte und Ölsaaten;733851;196861;4701470;1590075
2018;0112;Reis;-;-;2509;1987
2018;0113;Gemüse und Melonen sowie Wurzeln und Knollen;1090079;190628;1439456;1619725
2018;0114;Zuckerrohr;-;-;10;19
2018;0115;Tabak;2;15;1001;36370
2018;0116;Faserpflanzen;38;91;5407;7191
2018;0119;Sonstige einjährige Pflanzen;37469;104317;149420;556599
2018;0121;Wein- und Tafeltrauben;4370;8550;67070;131791
2018;0122;Tropische und subtropische Früchte;-;-;253216;249058
2018;0123;Zitrusfrüchte;-;-;279367;269181
2018;0124;Kern- und Steinobst;9867;10191;305868;350389
2018;0125;Sonstiges Baum- und Strauchobst und Nüsse;18047;142517;193651;804113
2018;0126;Ölhaltige Früchte;81;231;3157;4953
2018;0127;Pflanzen zur Herstellung von Getränken;-;-;19196;54167
2018;0128;Gewürzpflanzen, Pflanzen für z.B. pharmaz. Zwecke;2229;16702;19373;62225
2018;0129;Sonstige mehrjährige Pflanzen;4075;3746;24561;20641
2018;0130;Baumschulerzeugnisse,Pflanzen z.Vermehrungszweck.;137421;375283;332807;728264
2018;0141;Kühe und Färsen, lebend;17205;52884;2435;5215
2018;0142;Sonstige Rinder und Büffel, lebend, Sperma;16424;52634;2231;8099
2018;0143;Pferde und Esel, lebend;332;31917;180;5568
2018;0144;Kamele und Kamelartige, lebend;-;-;-;-
2018;0145;Schafe und Ziegen, lebend;1;3;4;48
2018;0146;Schweine, lebend;25294;44850;211177;304059
2018;0147;Geflügel, lebend, sowie Eier;220408;203571;155293;249910
2018;0149;Sonstige Nutztiere und tierische Erzeugnisse;1972;12627;3202;28803
2018;0210;Waldbestand sowie Erzeugnisse von Forstbaumschulen;6;30;239;489
2018;0220;Rohholz;526228;48843;286972;36847
2018;0230;Wildwachsende Produkte (ohne Holz);4544;15537;18381;59715
2018;0300;Fische u. Fischereierzeugnisse, Aquakulturerzeug.;810;4221;11784;56088
2018;0510;Steinkohle;173483;33378;17421059;2110338
2018;0520;Braunkohle;743884;62275;161;13
2018;0610;Erdöl;-;-;21028805;9325172
2018;0620;Erdgas, verflüssigt oder gasförmig;-;-;36382403;9406644
2018;0710;Eisenerze;34472;1196;20100707;1437580
2018;0721;Uran- und Thoriumerze;-;-;-;-
2018;0729;NE-Metallerze (ohne Uran- und Thoriumerze);87906;66675;925750;657302
2018;0811;Natur-,-werk-, Kalk-, Gipssteine, Kreide, Schiefer;167852;11671;887176;20339
2018;0812;Kies, Sand, Ton und Kaolin;12183992;139874;1492696;126687
2018;0891;Chemische und Düngemittelminerale;215553;33381;259332;53340
2018;0892;Torf;38484;5081;382962;34030
2018;0893;Salz, reines Natriumchlorid (ohne Speisesalz);1398535;49666;2456543;104342
2018;0899;Steine, Erden, a.n.g., sonstige Bergbauerzeugnisse;381510;39022;615309;184749
2018;1011;Fleisch (ohne Geflügel);1490787;2445207;617311;1331427
2018;1012;Geflügelfleisch;60928;72737;191309;434406
2018;1013;Verarbeitetes Fleisch;260426;764306;138508;542897
2018;1020;Fischerzeugnisse und andere Meeresfrüchte;39098;113374;86616;519695
2018;1031;Verarbeitete Kartoffeln und Kartoffelerzeugnisse;18001;32555;166373;165364
2018;1032;Frucht- u.Gemüsesäfte,n. gegoren,oh. Alkoholzusatz;285118;229929;397025;367630
2018;1039;Verarbeitetes Obst und Gemüse, a.n.g.;268186;530060;679426;867704
2018;1041;Öle und Fette (ohne Margarine und Nahrungsfette);1636558;876081;1864356;1352039
2018;1042;Margarine und Nahrungsfette;97812;106560;53469;67751
2018;1051;Milch und Milcherzeugnisse (ohne Speiseeis);670082;612929;685208;1378065
2018;1052;Speiseeis;82380;200639;29443;66741
2018;1061;Mahlerzeugnisse und Schälmühlenerzeugnisse;680340;257642;444340;265145
2018;1062;Stärke und Stärkeerzeugnisse;1121872;305217;748542;309314
2018;1071;Backwaren (ohne Dauerbackwaren);263018;513369;197992;420588
2018;1072;Dauerbackwaren;115126;326309;99224;266041
2018;1073;Teigwaren;3339;6325;35541;43251
2018;1081;Zucker;494095;148750;187217;71546
2018;1082;Süßwaren (ohne Dauerbackwaren);314704;1185867;292191;1034963
2018;1083;Kaffee und Tee, Kaffee-Ersatz;35829;205498;42137;334332
2018;1084;Würzen und Soßen;102648;118059;147309;185004
2018;1085;Fertiggerichte;104536;341144;74848;194529
2018;1086;Homogenisierte Nahrungsmittelzubereitungen;20224;174967;5483;31488
2018;1089;Sonstige Nahrungsmittel, a.n.g.;158824;336779;85883;350981
2018;1091;Futtermittel für Nutztiere;367465;161055;525709;243263
2018;1092;Futtermittel für sonstige Tiere, zubereitet;185279;302993;138435;258722
2018;1101;Spirituosen;4406;17135;72858;262869
2018;1102;Traubenwein;9702;18024;172542;366404
2018;1103;Apfelwein u. Fruchtweine, alkoholh. Mischgetränke;15498;12983;9000;7633
2018;1104;Wermutwein und andere aromatisierte Weine;158;340;1257;1409
2018;1105;Bier;230677;123057;124301;64668
2018;1106;Malz;95982;37920;74320;27759
2018;1107;Erfrischungsgetränke, natürliches Mineralwasser;2565620;312404;272338;134579
2018;1200;Tabakerzeugnisse;2573;129664;11035;240625
2018;1310;Textile Spinnstoffe und Garne;23288;46047;82020;183988
2018;1320;Gewebe;38584;419604;79276;534801
2018;1391;Gewirke und Gestricke;4991;91383;10967;76943
2018;1392;Konfektionierte Textilwaren (ohne Bekleidung);29225;335686;257785;1550555
2018;1393;Teppiche und textile Fußbodenbeläge;18143;98555;90065;329038
2018;1394;Seilerwaren;8397;30516;22047;50470
2018;1395;Vliesstoffe und Vliesstofferzeugnisse;99063;474443;81137;260618
2018;1396;Technische Textilien;65490;622433;33614;308373
2018;1399;Sonstige Textilwaren, a.n.g.;11297;37301;10271;45310
2018;1411;Bekleidung aus Leder oder rekonstituiertem Leder;94;6127;1444;66977
2018;1412;Arbeitsbekleidung und Berufsbekleidung;231;11822;6743;140255
2018;1413;Sonstige Oberbekleidung;80719;150283;176718;3600671
2018;1414;Wäsche;3282;93477;116662;2402996
2018;1419;Bekleidung und Bekleidungszubehör, a.n.g.;2989;87465;55631;941720
2018;1420;Pelzwaren;3;791;214;6702
2018;1431;Strumpfwaren;1978;102773;27498;376293
2018;1439;Bekleidung a.n.g., aus Gewirken oder Gestricken;844;28821;54927;1130790
2018;1511;Leder u. -faserstoff, zuger. u. gefärbte Felle;5213;168922;7106;124995
2018;1512;Lederwaren (ohne Lederbekleidung und Schuhe);7664;186140;59147;763917
2018;1520;Schuhe;12432;465336;94691;2051255
2018;1610;Holz, gesägt und gehobelt;756234;236156;633789;230828
2018;1621;Furnier-, Sperrholz-, Holzfaser-, Holzspanplatten;663284;496589;955812;539857
2018;1622;Parkettböden;10400;35758;27704;76379
2018;1623;Holzkonstruktionen, -bauteile, -fertigteilbauten;37272;110413;68809;98066
2018;1624;Holzverpackungen, Holzbehälter, Holzladungsträger;131314;56704;355804;120340
2018;1629;Holzwaren a.n.g., Kork-, Flecht-, Korbmacherwaren;12996;50547;198141;368098
2018;1711;Holz- und Zellstoff;178920;102696;634841;394833
2018;1712;Papier und Pappe;2293231;2022134;1917144;1651365
2018;1721;Wellpapier und -pappe, Verpackungsmittel;480383;841028;130222;261163
2018;1722;Haushalts-, Hygiene- und Toilettenartikel;227298;463213;198881;415534
2018;1723;Schreibwaren u. Bürobedarf aus Papier,Karton,Pappe;25011;57974;33934;107165
2018;1724;Tapeten;18676;69614;1538;9587
2018;1729;Andere Waren aus Papier, Karton und Pappe;52373;170306;66730;204017
2018;1910;Kokereierzeugnisse;400722;180065;1472174;423497
2018;1920;Mineralölerzeugnisse;4769757;2332905;17823762;9749673
2018;2011;Industriegase;146154;50997;264925;106518
